,titulos,subtitulos,links
0,RED HOT,City rage at Klopp for fanning flames as coins thrown at Pep and bus attacked,https://www.thesun.co.uk/sport/20142166/man-city-liverpool-jurgen-klopp-pep-guardiola-coins-bus/
1,JOE TO GO,Gomez set for World Cup after TWO YEARS out as Southgate turns to Liverpool ace,https://www.thesun.co.uk/sport/20138913/joe-gomez-england-world-cup-squad-liverpool-gareth-southgate/
2,CRIS CROSS,Five-time winner Cristiano Ronaldo has WORST EVER finish in Ballon d'Or rankings,https://www.thesun.co.uk/sport/20136602/cristiano-ronaldo-man-utd-ballon-dor-ranking-worst-ever/
3,MAUR PRESSURE,Villa target Pochettino to replace Gerrard with ‘manager's job in peril',https://www.thesun.co.uk/sport/20138155/aston-villa-pochettino-gerrard-pressure/
4,MONEY BACK,How to get up to £50 back as CASH if any of your first five football bets lose!,https://www.thesun.co.uk/sport/betting-tips/20003921/get-50-cash-back-football-bets-paddy-power/
5,NOTT IMPRESSED,Cooper slams Nottingham Forest's social media team over Wolves jibe,https://www.thesun.co.uk/sport/20138524/steve-cooper-nottingham-forest-wolves-social-media-jibe/
6,DAVE KIDD,"40-minute waits for VAR, Sunday TV blackouts - will we EVER think of the fans?",https://www.thesun.co.uk/sport/20142145/leeds-arsenal-delay-sunday-tv-blackout/
7,START THE CARR,Carrick set to be named Boro boss as Utd legend ‘changes mind after talks’,https://www.thesun.co.uk/sport/20137013/michael-carrick-man-utd-middlesbrough-boss-new-talks/
8,SHAW FIRE,"Ten Hag demands 100% from Utd players or they face rotting on bench, says Shaw",https://www.thesun.co.uk/sport/20136060/man-utd-luke-shaw-erik-ten-hag-praise/
9,MI TIME TO SHINE,Mikel Arteta tapping up Eddie Jones and Michael Jordan's ex-coach for tips,https://www.thesun.co.uk/sport/20134479/mikel-arteta-coach-tips-michael-jordan-eddie-jones/
10,ACE ACCUSED,Greenwood to spend month behind bars after being denied bail for 'rape attempt',https://www.thesun.co.uk/sport/20127986/mason-greenwood-court-attempted-rape-charge/
11,FAR FROM APPE,Watch wantaway Mbappe get booed as PSG ace heads to Ballon d’Or bash in Paris,https://www.thesun.co.uk/sport/20138521/kylian-mbappe-booed-ballon-dor-transfer/
12,RAM SLAM,Unseen footage shows Arsenal's Ramsdale mocking Leeds fans after tense win,https://www.thesun.co.uk/sport/20135691/unseen-footage-shows-arsenal-ace-aaron-ramsdale-shousery/
13,HE'S A KEPA,Chelsea star goes from Premier League's worst to best keeper in three games,https://www.thesun.co.uk/sport/20132686/chelsea-kepa-arrizabalaga-stats/
14,RANGE,Win a Range Rover + £1k or £34k cash alternative from just 89p with our discount code,https://www.thesun.co.uk/sport/betting-tips/18918779/win-range-rover-7-days/
15,STAR'S LOSS,Ireland ace Robbie Keane heartbroken at beloved mum's death as tributes pour in,https://www.thesun.co.uk/sport/20137734/robbie-keane-heartbroken-mum-dead/
16,XAV-ING A MARE,Xavi the WORST Barca boss to take charge of 50 games after El Clasico loss,https://www.thesun.co.uk/sport/20130736/xavi-worst-barcelona-manager-el-clasico-koeman-martino/
17,FOOTIE 'RAPIST',Benjamin Mendy 'rape victim's' texts about Jack Grealish revealed,https://www.thesun.co.uk/sport/20133829/benjamin-mendy-rape-victim-text-jack-grealish/
18,BLONDE BLUE,Chelsea CL winner unrecognisable with dyed blonde hair and bulked up physique,https://www.thesun.co.uk/sport/20134456/chelsea-champions-league-blonde-hair/
19,CURSE STRIKES,Terrified Arsenal fans all say same thing as Drake spotted in Gunners jersey,https://www.thesun.co.uk/sport/20135241/arsenal-title-race-drake-curse-jersey/
20,RAY OF LIGHT,Brutal Parlour's prank left Keown thinking he'd miss out on Invincibles medal,https://www.thesun.co.uk/sport/20133302/arsenal-parlour-keown-medal-shaaban-exclusive/
